class,cap-shape,cap-surface,cap-color,stem-root,stem-surface,stem-color,habitat,season,cap-diameter,stem-height,stem-width
p,x,s,n,,y,n,d,a,7.73,6.36,9.35
e,x,,w,,,w,d,a,4.62,6.4,4.2
e,o,,n,,,n,d,a,8.6,4.07,23.89
e,f,s,n,b,i,n,l,a,7.26,5.58,9.8
e,c,g,n,,,g,l,a,1.7,5.46,1.71
p,x,,n,,,w,d,a,13.32,10.95,16.13
e,x,,y,,,w,d,a,3.78,4.98,10.2
p,x,t,e,r,g,n,d,a,6.14,10.15,5.25
e,x,d,n,,,y,d,a,5.24,6.46,13.89
p,b,y,n,,,w,d,a,7.94,17.26,17.58
e,x,s,n,,,e,d,u,5.04,6.76,12.19
p,x,e,n,s,,n,h,a,8.37,8.96,12.8
p,x,,n,c,,n,d,a,11.46,10.54,29.75
p,f,t,n,,i,n,d,u,3.41,4.87,3.91
p,f,h,e,s,y,w,d,a,14.62,16.07,17.02
p,x,i,e,,,e,d,a,3.41,4.09,5.02
p,f,,y,,,w,d,a,5.06,4.58,6.9
e,x,s,n,s,,w,m,a,15.74,12.68,17.81
p,f,d,n,b,i,n,l,a,4.07,4.87,3.11
p,x,,w,,,y,d,a,5.08,3.2,12.05
p,x,,y,,i,y,d,a,7.0,5.98,14.35
p,b,,n,,s,n,d,u,1.67,5.04,2.11
e,f,d,w,,,w,m,u,9.34,6.79,31.97
e,x,h,n,,y,n,d,w,4.11,5.64,6.59
p,x,k,n,,i,n,d,a,6.93,5.99,6.67
p,f,,y,,,w,d,a,7.82,5.93,10.88
e,c,g,n,,,g,l,a,1.47,5.06,1.34
e,s,l,w,,,w,g,a,7.5,3.77,10.39
p,f,,n,,,n,d,a,4.4,8.4,4.35
e,f,h,n,,k,n,d,s,4.39,7.86,6.54
e,f,s,k,,,w,d,a,8.65,5.32,19.04
p,o,,w,,g,w,p,a,2.71,4.82,24.59
p,o,,k,,g,g,d,u,2.69,2.93,13.19
e,x,t,n,,,n,d,u,16.9,13.84,63.06
e,x,e,n,,,w,d,u,13.87,9.93,17.72
e,x,s,y,,t,y,h,u,1.44,6.54,2.32
e,x,y,w,,,w,m,u,6.02,4.68,11.94
e,x,,p,,s,w,d,u,7.16,6.28,14.63
e,x,,l,,,r,d,a,5.38,6.64,8.62
p,x,i,n,,i,n,g,a,7.26,7.96,7.95
e,p,i,n,,y,w,d,a,8.45,8.95,16.75
e,p,y,w,,,w,m,a,6.84,5.25,12.35
p,x,d,e,,,n,d,a,17.68,5.28,37.26
p,x,h,n,,i,n,d,a,16.05,9.22,18.3
e,s,l,w,,,w,g,u,6.15,3.33,8.73
e,s,t,o,,,w,d,a,8.49,5.76,16.75
p,f,t,y,,,y,g,u,2.52,8.15,3.34
e,b,g,w,,,y,g,a,4.46,5.53,3.18
e,o,,g,,,n,l,s,4.74,5.02,19.66
p,f,,o,,,o,g,a,0.86,4.79,1.12
e,b,y,n,,,w,d,s,2.67,6.86,3.39
p,x,g,o,,,y,d,a,0.82,3.38,0.71
e,x,w,g,,,w,g,a,1.49,4.97,2.28
p,x,t,y,,,y,d,a,5.87,4.78,13.4
e,f,s,n,b,i,n,m,a,6.95,5.47,8.52
p,s,,e,,,n,d,a,4.81,4.19,4.7
e,x,h,o,,,e,g,a,3.23,4.55,7.03
e,x,w,n,,,n,d,a,12.9,16.48,80.81
p,x,t,o,,y,o,d,a,3.54,4.23,6.24
e,x,s,n,,i,w,d,w,9.98,7.13,9.54
e,x,,y,,,w,d,u,3.13,2.83,8.64
p,f,k,n,,k,n,d,u,5.97,3.91,6.6
e,x,t,n,,t,o,d,a,3.69,5.99,7.14
e,s,,n,,s,w,l,u,5.05,5.41,8.11
p,x,s,r,r,y,n,d,a,6.47,5.98,16.74
e,x,d,n,,,y,d,a,3.49,4.26,9.46
e,x,e,n,,,w,g,u,15.46,8.8,17.47
e,x,y,y,b,,n,d,a,10.23,6.11,25.57
e,o,,g,,,n,l,s,4.65,5.12,21.92
e,f,g,n,,t,o,d,a,6.44,7.77,11.79
p,x,s,y,,,y,d,a,1.38,3.35,5.21
p,b,t,n,,i,n,m,a,3.77,5.97,4.32
e,o,,g,,,n,d,s,6.95,6.02,20.7
p,x,t,n,,,w,d,a,10.03,13.15,33.35
p,b,g,w,,,n,m,s,1.47,5.44,2.93
e,s,,u,,,u,d,w,10.29,7.84,19.49
p,f,s,n,,k,k,d,u,14.1,5.88,39.38
e,f,s,n,b,i,n,l,u,6.08,5.32,8.5
p,o,k,r,,,y,d,a,8.98,1.61,14.51
p,x,k,n,c,,y,d,a,12.87,9.52,30.96
p,f,,w,r,i,w,h,u,8.64,9.57,10.64
e,x,t,o,,,n,d,u,5.36,6.33,12.05
p,b,w,u,,s,u,l,a,3.88,5.16,4.68
p,s,t,g,,,r,g,u,13.8,5.19,24.97
p,x,e,y,,,u,d,u,10.93,8.68,23.56
p,x,g,y,,,y,d,a,0.62,3.4,0.73
e,b,g,w,,,y,g,u,3.71,4.64,2.73
e,x,s,w,,,w,g,a,2.88,3.26,5.41
p,f,,r,,,w,d,a,8.76,7.36,13.53
e,f,s,n,b,i,w,m,a,7.51,6.91,9.8
p,x,,g,b,,n,d,a,5.3,5.58,10.49
p,x,t,n,,,w,d,a,10.83,10.13,31.34
p,f,y,n,,k,w,d,u,3.44,4.49,3.67
e,x,t,n,,s,n,d,s,4.04,6.66,5.54
p,x,,o,,,y,g,a,0.68,4.39,0.97
p,f,h,r,,,w,d,u,11.52,11.8,17.89
p,s,t,p,,,p,d,u,10.41,7.97,15.56
p,s,,r,,,w,d,a,9.13,4.88,12.11
p,s,,n,,,n,d,u,3.25,5.59,6.36
p,b,s,y,,,y,d,a,4.51,10.29,7.79
p,f,y,y,,y,y,d,a,8.31,7.03,20.12
e,x,t,o,,s,n,d,a,5.08,7.59,4.77
e,p,w,n,,,n,d,a,17.94,17.57,73.62
e,x,y,n,,y,n,d,a,6.08,5.78,10.21
e,x,,n,b,,w,d,u,5.57,10.63,16.83
p,x,i,e,,,e,d,a,3.24,4.65,5.01
p,x,s,y,,,y,d,u,3.12,7.96,7.74
p,s,d,w,,h,w,g,a,3.86,3.98,2.62
p,b,d,p,,t,r,g,u,2.99,4.91,6.3
p,b,t,y,,,n,g,a,0.83,3.58,2.4
e,x,l,w,,,w,g,a,8.88,3.56,10.33
p,f,h,e,b,,w,d,a,6.55,4.96,16.83
e,x,,n,,y,w,d,a,7.84,10.34,21.89
p,b,w,u,,s,u,l,u,2.8,5.0,3.71
p,x,e,e,,,y,d,a,4.57,7.41,9.52
p,x,i,n,,i,n,g,u,7.62,8.22,8.31
p,x,d,w,,h,w,g,a,2.71,3.72,2.65
e,x,e,y,,,w,d,a,9.78,7.54,19.29
e,f,e,g,s,,w,d,a,15.35,8.94,24.82
e,f,h,n,,s,w,d,a,3.33,4.34,5.8
p,b,h,n,,,w,g,u,4.42,13.07,6.45
e,o,l,n,,,n,d,a,5.4,6.37,51.93
p,x,y,n,,y,y,h,a,3.18,5.93,3.5
e,s,,n,,s,w,l,a,5.88,3.8,6.79
p,f,,w,r,i,w,d,a,8.27,9.78,11.69
e,x,e,g,s,,w,l,w,14.85,11.06,29.39
p,b,y,n,s,s,w,d,a,2.8,5.26,4.3
p,f,s,y,,,y,d,u,1.23,3.91,5.67
e,x,t,n,,t,y,h,u,1.61,7.73,2.81
p,x,,n,s,,g,d,a,7.66,8.48,18.39
p,x,t,o,,y,o,d,w,3.78,4.2,5.75
e,f,h,n,,s,w,d,u,2.93,5.46,5.99
p,f,,n,,,w,d,a,13.03,10.32,11.8
e,f,,n,b,,u,g,a,6.72,6.9,19.54
p,x,g,w,,,n,l,u,0.99,2.96,1.4
p,x,g,n,,h,k,d,a,0.69,3.5,0.88
p,f,k,y,,k,n,d,u,4.5,3.28,4.82
e,f,e,b,,,w,d,a,10.56,4.98,20.19
p,p,,n,c,,n,d,a,8.99,10.21,27.36
e,x,y,n,,y,n,d,u,7.07,5.41,9.98
p,x,e,n,,,e,d,a,12.22,8.77,29.87
p,x,t,r,,,r,g,u,11.71,5.53,27.57
p,c,,u,,i,w,p,a,2.53,3.96,3.59
e,o,,g,,,n,d,s,3.58,4.2,17.92
e,x,,l,,,l,d,u,3.81,6.38,7.53
e,x,s,u,,,w,d,a,7.09,3.24,12.84
e,f,t,n,,t,o,d,a,4.04,5.96,7.12
p,p,t,n,,t,y,m,s,2.19,6.58,2.47
e,x,w,n,,,w,d,s,1.3,5.08,2.56
e,f,y,g,,,w,d,u,4.1,4.07,6.46
p,p,s,g,,s,w,g,s,5.91,11.54,13.24
e,x,s,w,,,w,m,a,3.17,3.93,6.1
e,p,y,n,s,,n,d,a,18.9,28.39,22.04
p,x,w,p,,,p,d,a,5.73,3.31,9.32
e,f,g,n,,t,o,d,a,7.71,8.44,11.02
e,b,y,n,,,w,d,s,3.35,7.18,4.0
e,f,h,g,,s,g,d,a,5.86,4.84,9.98
p,f,w,u,,s,u,l,a,3.15,4.95,4.24
e,f,y,g,,,w,d,u,5.05,3.72,8.13
p,s,t,r,,,r,d,a,16.14,4.93,24.95
p,s,t,n,,t,r,d,u,7.36,4.36,12.4
e,f,,g,,,w,d,w,12.22,2.57,15.34
p,x,g,e,,,n,d,u,3.2,8.67,2.83
e,c,g,n,,,g,d,a,1.6,5.21,1.34
p,f,w,p,,,p,d,w,7.25,4.92,10.74
e,x,h,n,,s,n,d,a,5.79,4.92,5.9
e,b,g,w,,,w,d,a,1.22,3.45,1.72
p,f,,o,,,y,g,u,0.78,4.5,1.02
p,s,,y,,,w,d,u,7.9,4.93,12.91
p,x,k,n,c,,y,d,u,14.38,9.82,30.66
p,x,g,e,,,n,d,u,2.39,6.68,2.29
e,x,,b,,,w,d,u,2.07,4.95,3.78
p,x,k,n,,i,n,d,a,5.7,5.15,6.26
p,x,t,e,r,g,n,d,a,5.9,12.4,6.6
p,f,s,g,,,w,g,u,2.56,2.79,7.38
e,f,,g,,,w,d,a,6.9,2.15,10.86
e,p,g,g,,,w,d,u,0.98,2.95,1.48
p,x,s,g,r,y,n,d,u,6.21,5.91,14.52
p,f,,r,,,w,d,u,7.94,7.36,12.45
e,f,w,y,,,y,d,u,7.08,6.5,16.51
p,o,,e,,g,n,d,s,12.44,3.21,24.9
e,s,,w,,,w,d,a,11.19,6.96,25.28
p,x,,e,,,w,d,u,3.16,4.24,6.15
p,x,d,n,,,n,d,a,6.32,6.95,8.94
e,f,s,y,,,p,d,u,11.48,6.83,21.87
p,x,,n,c,,n,d,a,11.6,10.42,27.64
p,f,,n,,,w,d,u,11.17,10.98,14.33
e,p,y,n,,y,w,l,a,10.75,9.87,18.89
p,b,t,w,,y,w,d,a,7.85,12.98,12.79
p,s,d,o,,,y,d,a,6.02,3.9,6.82
p,p,t,n,,t,y,m,s,1.76,6.83,2.62
p,x,h,r,,y,n,d,u,4.45,5.64,6.83
e,x,s,o,,,n,d,u,4.26,5.07,12.3
p,x,t,n,,,w,d,u,8.83,11.54,25.11
p,x,i,n,,i,n,d,u,9.41,8.95,8.69
e,s,t,p,,,w,d,u,8.67,6.27,16.19
e,p,g,g,,,w,d,w,0.96,2.97,1.57
p,f,d,n,,k,k,d,a,14.59,6.89,38.81
p,x,,n,,s,n,g,a,1.37,4.92,2.51
p,b,,n,,s,n,d,u,2.02,5.3,2.2
p,f,,r,,,w,d,a,7.04,5.76,10.1
e,x,,r,,,l,d,u,4.7,5.72,7.62
e,s,s,u,,,w,d,w,9.92,6.87,20.47
e,s,,w,,,w,d,u,10.9,6.14,23.1
e,x,,w,,,w,d,u,4.65,6.73,4.21
e,x,h,n,,s,n,d,u,6.81,7.18,12.72
e,f,,l,,,w,d,a,10.02,2.51,16.43
p,o,,e,,g,n,d,u,8.84,3.52,22.9
p,f,w,n,,,n,d,a,3.23,3.58,5.17
p,b,y,n,,s,w,g,a,5.97,10.58,11.2
p,o,t,w,f,f,f,d,a,5.66,0.0,0.0
e,s,y,n,,i,n,l,u,2.25,7.24,3.69
e,x,g,n,,,n,h,u,1.23,5.5,1.02
p,f,h,r,,,w,d,a,7.89,11.0,16.75
p,x,s,y,,i,n,d,a,11.39,6.4,16.53
p,x,,n,,s,n,g,a,1.27,4.2,2.23
e,f,h,o,,s,n,d,a,4.62,5.62,5.5
p,x,t,n,,,w,d,u,3.84,5.71,9.63
p,b,h,n,,,w,g,u,2.85,9.93,4.91
e,f,g,g,,s,n,d,u,3.68,6.23,3.52
p,s,d,e,,,n,d,a,6.13,4.79,8.12
p,b,y,n,s,s,w,d,a,3.43,5.3,4.41
p,x,,w,,,y,d,a,5.23,3.43,13.02
p,x,s,n,,y,n,d,a,5.65,5.78,7.11
e,f,s,n,b,i,n,g,u,8.03,5.92,9.89
e,s,,n,,,n,d,u,6.97,3.85,21.54
p,b,,n,,,g,g,u,3.41,10.91,2.75
e,f,s,w,,s,w,d,w,9.63,14.48,12.31
e,f,y,w,s,,n,d,u,14.54,26.38,19.49
p,x,h,r,,y,w,d,u,4.5,6.57,8.31
p,s,d,o,,,y,h,u,5.47,3.46,6.44
p,f,i,k,,,w,g,u,1.83,3.61,2.21
p,b,g,w,,,n,d,s,2.41,7.07,3.71
p,x,y,w,s,,w,g,a,7.32,8.47,14.98
e,x,s,n,,,n,d,u,9.5,7.05,17.45
e,x,s,w,,,w,g,a,3.73,3.8,6.4
p,f,t,r,,,n,d,u,10.24,4.93,22.52
p,x,s,e,,,n,d,a,18.79,5.39,32.01
p,x,g,n,,,n,d,a,2.9,7.92,2.73
e,f,s,w,,,w,m,a,8.71,5.63,13.93
e,s,,y,,,y,d,a,3.24,6.37,6.32
p,f,h,r,,,w,d,a,9.46,11.14,14.51
p,f,d,n,,,e,d,a,8.14,6.32,9.82
p,f,,n,r,i,w,h,u,9.32,9.99,12.76
p,f,,r,,,w,d,u,7.33,6.33,11.54
p,f,t,n,,,y,g,u,2.22,7.68,3.11
p,x,i,y,,i,n,d,a,8.69,7.82,8.27
p,x,i,n,s,,n,d,a,7.22,10.07,12.61
p,x,s,o,,g,o,g,u,2.83,5.04,5.93
p,x,,e,,,w,d,a,4.52,4.36,6.88
p,c,e,w,,,w,g,a,5.0,6.63,12.37
e,x,,n,b,,u,g,w,6.79,5.08,19.31
e,p,s,n,s,,w,m,a,14.53,9.41,16.59
e,x,h,y,,,y,d,u,6.43,6.52,12.78
p,p,t,n,,t,y,m,s,2.05,6.76,2.45
e,f,s,w,,,w,m,u,10.18,5.98,31.1
e,x,,n,b,,u,g,a,8.58,6.99,19.89
e,b,g,n,,,y,g,u,4.16,5.59,3.73
e,x,d,e,s,y,w,d,a,17.23,18.13,37.42
p,f,,g,,,w,d,u,12.69,10.96,16.76
p,c,,w,,i,u,d,u,2.04,3.77,3.7
p,s,,u,,,y,d,a,5.55,4.88,8.64
e,b,g,n,,,y,g,a,5.11,4.68,2.86
e,x,,r,,,r,d,a,4.82,5.96,7.1
p,f,t,y,,t,y,m,u,2.56,4.33,4.87
p,x,h,y,,i,n,d,a,7.99,7.9,17.62
e,x,,u,,,w,d,w,2.57,5.47,4.39
e,x,h,n,,s,w,d,a,3.34,6.5,6.43
e,s,t,w,,,w,d,a,10.51,6.03,17.29
e,b,h,g,,s,g,d,u,6.6,5.59,9.1
p,x,s,n,,y,n,d,w,7.66,6.42,8.11
p,f,t,n,,,n,h,u,10.93,5.85,13.9
p,x,s,n,,y,n,d,a,8.23,6.0,8.31
p,x,i,n,,i,n,d,u,5.53,7.35,6.68
e,x,h,o,,s,o,d,s,4.28,6.04,5.48
p,b,y,w,,,w,d,a,7.72,16.97,18.71
e,f,y,y,b,,n,d,a,12.31,7.65,23.58
e,f,d,o,,,w,g,a,5.75,5.23,12.08
p,f,,n,r,i,w,d,u,8.9,10.37,11.19
e,f,s,u,,,w,d,a,9.73,5.9,17.93
e,c,g,n,,,n,h,a,1.36,6.54,1.03
e,f,s,n,b,i,n,l,a,7.74,6.56,9.74
e,x,y,n,,,w,d,u,14.88,9.53,16.42
p,x,t,n,,,g,g,u,16.23,4.67,24.44
p,s,s,g,,,w,g,a,3.36,2.69,8.04
e,f,g,g,,s,g,d,w,3.75,4.68,3.01
e,f,t,n,,,w,d,w,14.95,7.34,21.98
p,b,h,n,,t,n,h,s,1.87,4.83,1.53
p,f,h,e,b,,w,d,a,6.51,5.7,17.73
p,b,s,o,,,k,g,a,6.05,6.82,9.06
e,x,,n,b,,w,d,a,12.47,11.08,20.23
e,f,s,w,,s,w,d,u,10.6,13.46,11.58
p,s,,o,,,w,d,a,6.57,3.97,11.96
p,x,,g,b,,n,l,w,4.65,4.69,8.46
e,x,d,e,,,y,d,u,8.65,6.15,12.53
e,x,d,y,,,y,d,u,8.02,8.09,17.05
e,x,y,n,,y,n,d,a,6.11,5.25,10.12
p,f,y,e,,k,w,d,a,3.19,4.13,3.4
p,b,,n,,,g,g,u,2.99,9.32,2.52
p,s,w,o,,,n,d,a,2.81,3.78,6.24
p,x,g,n,,,n,d,u,2.38,7.87,2.52
p,f,d,n,,k,n,d,a,15.48,5.55,34.3
e,x,d,e,,,y,d,u,7.05,4.54,11.63
p,x,s,y,,,y,d,u,4.49,9.39,8.21
p,x,d,e,,,n,d,w,21.29,6.62,50.27
p,x,i,n,,i,n,d,a,8.16,8.14,8.37
e,b,g,n,,,y,g,u,3.58,4.96,3.5
p,b,t,w,,y,w,d,u,9.42,13.16,13.67
e,x,d,n,,,y,d,a,2.79,4.53,10.24
p,x,g,n,,,w,d,a,2.35,7.11,2.34
e,x,t,n,,,n,d,a,10.3,7.52,22.32
p,f,,n,r,i,w,d,a,8.21,8.7,9.49
p,o,k,n,,,n,d,w,1.79,4.6,1.75
p,x,t,e,r,g,n,d,a,6.13,13.02,7.66
e,x,s,b,,s,n,l,a,6.2,6.47,8.29
p,x,t,n,,,y,d,a,8.53,6.89,17.23
e,x,s,y,,i,n,d,a,11.81,9.92,16.93
p,x,s,n,c,,y,d,u,16.63,8.69,33.69
e,c,,g,,,n,d,s,6.14,6.16,20.33
p,x,k,n,c,,y,d,u,11.82,7.95,28.52
p,x,i,y,,i,n,g,a,7.0,8.0,7.63
p,s,d,o,,,y,h,u,5.37,2.94,6.37
p,x,k,n,c,,y,d,u,16.54,8.67,28.81
p,s,t,p,,,p,d,u,10.21,8.98,16.08
e,x,h,y,,,y,d,a,8.93,8.36,16.65
e,x,l,w,,,w,d,u,6.19,3.55,8.85
e,s,y,n,,i,n,h,a,3.01,7.55,3.7
e,f,,n,b,,w,d,u,9.17,10.11,17.01
e,f,h,n,,i,o,d,a,7.67,8.82,13.0
e,x,d,n,,,y,d,a,7.74,6.17,12.99
e,f,s,u,,,n,d,a,11.6,5.58,22.64
e,s,,w,,,w,d,a,9.2,5.5,25.77
e,x,h,n,,s,w,d,a,2.74,5.83,6.11
p,o,e,y,,,n,d,w,6.45,1.19,14.5
p,b,t,n,,,w,g,u,5.08,12.53,7.77
e,f,w,g,,,w,d,w,1.48,5.32,2.46
p,f,,n,r,i,w,h,u,9.61,10.93,12.94
p,b,t,n,,,w,g,a,3.79,7.71,5.71
p,x,i,e,,,e,d,a,2.79,3.76,4.58
p,x,d,n,,,e,d,a,5.06,5.96,7.98
p,x,s,r,r,i,n,d,u,6.26,4.9,15.77
e,f,y,g,,,w,d,u,6.43,5.63,8.63
e,f,h,k,,s,g,d,a,6.08,4.27,9.36
p,x,d,k,,,n,d,w,17.99,6.41,51.27
e,f,y,n,,,w,d,a,4.87,4.37,7.4
e,f,,b,,,w,d,w,10.42,2.69,18.29
p,b,t,w,,y,w,d,a,7.52,12.29,12.2
p,x,t,n,,,w,d,u,2.97,5.09,6.85
p,x,e,e,,,y,d,a,6.24,8.17,10.37
p,s,t,n,,,n,l,a,10.1,4.93,23.85
p,x,y,w,s,,w,g,a,8.35,7.88,14.79
e,p,s,w,,,w,m,a,6.37,4.71,13.3
p,p,y,w,,,w,d,a,8.24,16.46,19.34
e,f,y,y,b,,n,d,w,5.07,5.71,21.0
p,f,k,w,,,n,g,a,3.78,4.17,2.81
p,o,,n,,g,n,d,s,10.26,3.85,26.03
p,p,g,n,,y,w,d,a,7.77,9.07,15.49
p,f,,g,,,w,d,a,13.26,11.42,17.29
p,f,,r,,,w,d,a,7.23,6.65,11.31
e,x,,w,b,,y,d,u,6.9,6.88,14.67
e,x,s,n,,s,n,l,a,5.89,7.16,9.7
e,s,,l,,,u,d,w,9.21,7.65,18.19
p,p,y,g,,s,w,d,s,6.08,10.71,12.01
p,s,d,o,,,o,d,u,5.55,3.24,6.25
e,x,w,n,,,n,d,u,10.41,8.94,50.94
p,c,k,w,,,w,g,u,5.06,4.33,11.65
p,s,,e,,,e,d,u,5.17,6.19,5.41
p,x,d,n,,,n,d,w,12.63,3.55,30.86
e,x,,g,,,w,d,u,7.29,7.36,15.17
p,x,e,n,,,e,d,u,9.61,7.72,24.74
p,x,e,n,s,,n,h,a,8.06,11.71,13.62
e,b,y,n,,,w,d,a,3.43,6.49,2.84
p,x,s,n,c,,y,d,u,15.51,8.93,34.64
p,x,e,n,,,e,d,a,11.51,9.91,33.29
p,x,g,e,s,y,w,d,u,15.48,19.22,18.14
e,f,g,e,,,n,h,u,1.21,6.52,1.12
p,s,w,u,,s,u,l,a,3.33,5.58,6.25
p,p,,n,c,,n,d,a,9.23,8.83,29.57
p,c,e,y,,,w,g,s,3.5,5.39,11.08
p,f,d,n,,k,k,d,u,19.98,6.5,33.94
p,f,,u,,i,w,d,a,3.81,4.23,3.96
p,x,y,w,s,,w,g,u,6.75,8.06,14.22
p,f,y,y,,y,y,d,a,7.35,9.01,21.51
p,x,y,w,s,,w,g,a,8.83,8.47,14.65
p,p,y,n,,,w,d,a,8.38,14.75,17.2
e,f,s,b,,s,n,l,a,6.53,7.31,10.28
p,s,h,r,,t,n,d,u,6.57,4.12,11.45
e,x,,w,,,w,l,a,4.33,6.77,8.58
e,x,s,n,,,n,d,a,4.21,6.95,12.03
e,f,i,n,,,w,w,a,8.7,4.81,13.25
e,x,d,y,,,y,d,a,8.45,7.66,18.17
p,s,k,y,,k,n,d,u,4.52,3.71,5.79
e,b,h,g,,s,g,d,a,6.5,5.15,10.51
p,s,s,g,,,w,g,u,3.57,2.85,7.08
e,f,y,n,,i,n,l,u,1.55,6.43,2.9
e,x,t,n,,,n,d,u,10.67,9.24,19.16
p,p,y,g,,s,w,d,u,5.99,9.09,11.81
p,x,d,e,,,n,d,a,7.24,7.94,8.35
p,x,,n,s,,u,d,a,8.08,9.57,19.56
e,s,d,p,,,n,d,a,4.06,4.56,6.36
e,s,l,n,,,n,d,a,5.17,6.56,43.67
e,x,s,u,,,w,d,u,8.07,3.85,12.55
e,x,t,y,,,w,d,u,5.9,7.75,13.23
p,f,t,g,,,r,l,a,16.95,4.85,25.41
e,x,t,n,,,e,d,a,4.61,4.96,11.25
e,s,l,n,,,n,l,a,4.5,5.65,44.66
p,f,d,b,b,i,n,d,a,4.04,4.5,3.17
e,x,,y,b,,y,d,a,5.99,6.0,12.9
e,x,d,o,,,o,g,w,3.91,4.34,6.72
e,f,d,p,,,g,d,a,3.32,4.26,6.03
p,x,t,n,,,w,d,u,2.68,5.16,5.95
e,x,,g,,y,w,d,u,8.67,14.0,27.24
p,s,t,n,,,y,d,a,7.15,5.57,18.74
p,c,i,y,,,w,d,a,4.74,5.42,5.88
p,x,h,o,,y,o,d,a,4.6,5.15,6.94
p,o,l,g,f,f,f,d,s,3.03,0.0,0.0
p,f,h,e,b,,w,d,u,8.21,6.42,17.51
e,f,y,g,,,w,d,a,4.89,4.73,8.61
p,x,d,e,,,n,d,a,7.56,6.82,8.68
p,x,e,e,,,n,d,a,5.19,8.1,9.97
e,f,g,n,,,n,h,u,0.77,5.4,0.99
p,s,,e,,,e,d,u,5.68,6.67,6.9
e,x,t,y,,,y,d,u,8.87,7.71,14.13
e,b,g,g,,,w,d,s,1.06,3.11,1.54
e,x,t,n,,t,g,d,u,7.07,6.59,4.82
p,o,k,n,,,n,d,s,1.95,4.94,1.84
p,f,w,n,,,n,d,u,3.3,3.58,6.46
p,p,y,w,,,w,d,a,7.57,15.68,16.54
p,s,d,e,,,e,d,a,8.46,5.83,9.32
e,x,l,w,,,w,d,u,8.61,3.58,9.31
e,s,s,y,,,w,d,w,11.14,8.12,23.95
e,f,s,n,b,i,n,g,a,7.21,5.81,9.39
e,f,y,w,,s,w,d,s,8.91,16.55,11.77
p,o,,e,,g,n,d,u,8.02,3.32,23.76
e,c,t,n,,s,n,d,a,5.53,12.22,12.35
p,f,s,g,,,w,g,a,3.06,3.3,7.6
e,x,h,o,,k,o,d,s,5.6,7.95,7.24
p,b,s,y,,,y,d,w,3.52,7.85,6.84
e,x,d,n,s,y,w,d,u,22.38,18.03,37.3
e,f,w,g,,,w,g,w,1.35,4.87,2.51
p,x,k,n,c,,y,d,u,14.52,7.62,27.24
p,b,g,o,,,n,d,u,1.95,5.49,2.84
e,f,t,n,,t,w,d,a,4.16,5.67,6.78
p,s,t,n,,,y,d,a,7.71,7.04,17.2
p,x,s,y,,i,n,d,u,13.78,8.76,18.77
e,f,s,n,b,i,n,l,a,8.71,6.3,10.74
e,f,,g,b,,u,g,w,7.61,5.09,18.9
e,x,e,l,,,w,d,u,9.1,7.19,22.91
e,f,s,w,,,w,g,a,3.77,4.19,6.21
p,o,l,g,f,f,f,d,s,3.35,0.0,0.0
p,f,h,e,r,g,n,d,u,7.01,15.64,7.54
e,f,s,n,,s,n,l,a,6.14,8.18,11.23
p,x,i,e,,,y,g,a,5.29,6.81,7.41
p,x,g,y,,,w,d,a,0.72,3.66,0.93
p,f,t,n,,,y,d,a,4.84,3.15,10.6
p,s,t,n,,,n,h,a,12.83,6.43,16.44
p,f,y,w,,k,w,d,u,4.14,5.55,3.7
p,x,s,y,,,y,d,a,1.23,3.22,5.66
e,p,s,w,,s,w,g,a,9.29,17.11,11.47
p,x,e,y,,,e,d,u,11.35,8.64,24.96
p,b,t,n,,,w,g,u,3.61,10.74,6.28
e,x,,n,b,,w,d,u,7.87,10.5,16.42
p,x,t,n,,,w,d,a,2.87,6.4,10.55
e,f,,l,,,u,l,w,11.0,8.28,19.88
p,x,i,y,r,,y,d,w,13.57,14.92,23.48
e,x,s,k,,,w,d,u,9.5,4.89,18.06
p,s,s,n,,k,k,d,a,22.19,6.53,41.23
e,o,y,y,,k,n,d,s,51.64,6.01,33.52
e,x,h,n,,s,n,d,a,5.43,5.36,5.83
e,x,h,y,,,y,d,u,9.13,7.38,13.83
e,f,y,w,s,,n,d,u,18.98,27.41,20.14
p,b,,g,,s,n,d,u,1.85,5.03,1.86
p,x,i,k,,,w,g,a,2.61,4.38,2.58
e,x,t,o,,s,o,d,s,5.2,6.81,5.29
p,x,h,r,,,w,d,u,9.59,11.45,17.82
e,c,t,n,,s,w,d,a,6.4,12.6,13.2
e,s,d,b,,,w,g,w,7.18,6.62,13.24
p,f,w,n,,,n,d,a,3.51,3.74,5.79
p,x,e,y,,,u,d,a,9.71,7.31,19.12
p,x,t,n,,,w,d,u,10.0,12.18,38.37
e,s,,y,,,g,d,w,6.91,6.0,14.01
p,b,,n,,s,n,d,a,1.97,4.34,1.74
p,x,e,n,,,e,d,u,9.85,6.89,21.09
e,x,e,n,,,w,d,a,15.26,10.99,18.1
e,p,i,n,,y,w,d,a,9.24,8.64,16.99
p,b,t,l,,y,l,d,u,4.3,5.46,7.44
e,s,l,n,,,n,l,a,4.94,6.47,45.77
e,c,g,n,,,g,l,a,1.58,4.51,1.34
e,x,,n,b,,u,d,w,9.59,6.75,20.05
e,f,y,n,s,,n,m,a,19.79,31.74,21.3
e,x,k,n,,,n,d,a,3.65,4.05,9.69
p,o,,w,,g,w,p,u,4.31,5.33,28.53
